municipio_key,municipio_label,codigo_ibge,grafias_distintas,n_arts,uf,confiabilidade_municipio,exemplos_grafias
ITUPEVA,Itupeva,Informação insuficiente para verificar,1,1,SP,baixa,ITUPEVA
NOVO LINO,Novo Lino,Informação insuficiente para verificar,1,1,AL,baixa,NOVO LINO
STO ANTONIO JESUS,Sto Antonio Jesus,Informação insuficiente para verificar,1,1,BA,baixa,STO ANTÔNIO JESUS
UIRAUNA,Uirauna,Informação insuficiente para verificar,1,1,PB,baixa,UIRAÚNA
CRUZEIRO DO SUL,Cruzeiro Do Sul,Informação insuficiente para verificar,1,1,AC,baixa,CRUZEIRO DO SUL
PARACATU,Paracatu,Informação insuficiente para verificar,1,1,MG,baixa,PARACATU
ASSU,Assu,Informação insuficiente para verificar,1,1,RN,baixa,ASSU
BOA VISTA DO SUL,Boa Vista Do Sul,Informação insuficiente para verificar,1,1,RS,baixa,BOA VISTA DO SUL
CATENDE,Catende,Informação insuficiente para verificar,1,1,PE,baixa,CATENDE
ANASTACIO,Anastacio,Informação insuficiente para verificar,1,1,MS,baixa,ANASTÁCIO
SAO JOAO D ALIANCA,Sao Joao D Alianca,Informação insuficiente para verificar,1,1,GO,baixa,SÃO JOÃO D ALIANÇA
CARIACICA,Cariacica,Informação insuficiente para verificar,1,1,ES,baixa,CARIACICA
BANDEIRA DO COLONIA - DISTRITO,Bandeira Do Colonia - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,BANDEIRA DO COLÔNIA - Distrito
IPUCABA - DISTRITO,Ipucaba - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,IPUCABA - Distrito
PEDRA DO INDAIA,Pedra Do Indaia,Informação insuficiente para verificar,1,1,MG,baixa,PEDRA DO INDAIÁ
GRANJA,Granja,Informação insuficiente para verificar,1,1,CE,baixa,GRANJA
PORTO ALEGRE DO TOCANTINS,Porto Alegre Do Tocantins,Informação insuficiente para verificar,1,1,TO,baixa,PORTO ALEGRE DO TOCANTINS
MARTINOPOLE,Martinopole,Informação insuficiente para verificar,1,1,CE,baixa,MARTINÓPOLE
PAU D ARCO,Pau D Arco,Informação insuficiente para verificar,1,1,TO,baixa,PAU D ARCO
IPANGUACU,Ipanguacu,Informação insuficiente para verificar,1,1,RN,baixa,IPANGUAÇU
ITARANA,Itarana,Informação insuficiente para verificar,1,1,ES,baixa,ITARANA
SUZANO,Suzano,Informação insuficiente para verificar,1,1,SP,baixa,SUZANO
PARINTINS,Parintins,Informação insuficiente para verificar,1,1,BA,baixa,PARINTINS
SANTA MARIA,Santa Maria,Informação insuficiente para verificar,1,1,RS,baixa,SANTA MARIA
VALE DE SAO DOMINGOS,Vale De Sao Domingos,Informação insuficiente para verificar,1,1,MT,baixa,VALE DE SÃO DOMINGOS
SANTA TEREZINHA DE GOIAS,Santa Terezinha De Goias,Informação insuficiente para verificar,1,1,GO,baixa,SANTA TEREZINHA DE GOIÁS
PARAZINHO,Parazinho,Informação insuficiente para verificar,1,1,RN,baixa,PARAZINHO
PASSAGEM DOS TEIXEIRAS - DISTRITO,Passagem Dos Teixeiras - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,PASSAGEM DOS TEIXEIRAS - Distrito
VARGEM ALTA,Vargem Alta,Informação insuficiente para verificar,1,1,ES,baixa,VARGEM ALTA
PR GRANDE,Pr Grande,Informação insuficiente para verificar,1,1,SP,baixa,PR GRANDE
ITACAMBIRA,Itacambira,Informação insuficiente para verificar,1,1,MG,baixa,ITACAMBIRA
ARAUA,Araua,Informação insuficiente para verificar,1,1,SE,baixa,ARAUÁ
CACHOEIRA DOURADA,Cachoeira Dourada,Informação insuficiente para verificar,1,1,MG,baixa,CACHOEIRA DOURADA
PEDRINHAS,Pedrinhas,Informação insuficiente para verificar,1,1,PE,baixa,PEDRINHAS
JUNCO (JUAZEIRO),Junco (Juazeiro),Informação insuficiente para verificar,1,1,BA,baixa,JUNCO (JUAZEIRO)
COLONIA LEOPOLDINA,Colonia Leopoldina,Informação insuficiente para verificar,1,1,AL,baixa,COLÔNIA LEOPOLDINA
RONDONOPOLIS,Rondonopolis,Informação insuficiente para verificar,1,1,MT,baixa,RONDONÓPOLIS
FARTURA DO PIAUI,Fartura Do Piaui,Informação insuficiente para verificar,1,1,PI,baixa,FARTURA DO PIAUÍ
SANTA FE DO ARAGUAIA,Santa Fe Do Araguaia,Informação insuficiente para verificar,1,1,TO,baixa,SANTA FÉ DO ARAGUAIA
BREJO NOVO - DISTRITO,Brejo Novo - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,BREJO NOVO - Distrito
ALTO TAQUARI,Alto Taquari,Informação insuficiente para verificar,1,1,MT,baixa,ALTO TAQUARI
CARAIBUNA - DISTRITO,Caraibuna - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,CARAIBUNA - Distrito
ALTO PARAISO DE GOIAS,Alto Paraiso De Goias,Informação insuficiente para verificar,1,1,GO,baixa,ALTO PARAÍSO DE GOIÁS
BERTOLINIA,Bertolinia,Informação insuficiente para verificar,1,1,PI,baixa,BERTOLÍNIA
CACERES,Caceres,Informação insuficiente para verificar,1,1,MT,baixa,CÁCERES
ICONHA,Iconha,Informação insuficiente para verificar,1,1,ES,baixa,ICONHA
JAPARATINGA,Japaratinga,Informação insuficiente para verificar,1,1,AL,baixa,JAPARATINGA
BIGUACU,Biguacu,Informação insuficiente para verificar,1,1,SC,baixa,BIGUAÇU
JARAGUA DO SUL,Jaragua Do Sul,Informação insuficiente para verificar,1,1,SC,baixa,JARAGUÁ DO SUL
CARPINA,Carpina,Informação insuficiente para verificar,1,1,PE,baixa,CARPINA
PAUDALHO,Paudalho,Informação insuficiente para verificar,1,1,PE,baixa,PAUDALHO
AUGUSTO DE LIMA,Augusto De Lima,Informação insuficiente para verificar,1,1,MG,baixa,AUGUSTO DE LIMA
BUENOPOLIS,Buenopolis,Informação insuficiente para verificar,1,1,MG,baixa,BUENÓPOLIS
MARCOLINO MOURA - DISTRITO,Marcolino Moura - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,MARCOLINO MOURA - Distrito
JUREMAL - DISTRITO,Juremal - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,JUREMAL - Distrito
FORTIM,Fortim,Informação insuficiente para verificar,1,1,CE,baixa,FORTIM
BREJO GRANDE DO ARAGUAIA,Brejo Grande Do Araguaia,Informação insuficiente para verificar,1,1,BA,baixa,BREJO GRANDE DO ARAGUAIA
SAO JOSE DO NORTE,Sao Jose Do Norte,Informação insuficiente para verificar,1,1,RS,baixa,SÃO JOSÉ DO NORTE
GUAIBA,Guaiba,Informação insuficiente para verificar,1,1,RS,baixa,GUAÍBA
CORGUINHO,Corguinho,Informação insuficiente para verificar,1,1,MS,baixa,CORGUINHO
PIACABUCU,Piacabucu,Informação insuficiente para verificar,1,1,AL,baixa,PIAÇABUÇU
ITABIRA,Itabira,Informação insuficiente para verificar,1,1,MG,baixa,ITABIRA
PASSE - DISTRITO,Passe - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,PASSÉ - Distrito
VERISSIMO,Verissimo,Informação insuficiente para verificar,1,1,MG,baixa,VERÍSSIMO
SOUSA,Sousa,Informação insuficiente para verificar,1,1,PB,baixa,SOUSA
PETROPOLIS,Petropolis,Informação insuficiente para verificar,1,1,RJ,baixa,PETRÓPOLIS
LIMOEIRO,Limoeiro,Informação insuficiente para verificar,1,1,PE,baixa,LIMOEIRO
BREU BRANCO,Breu Branco,Informação insuficiente para verificar,1,1,PA,baixa,BREU BRANCO
BELEM DO SAO FRANCISCO,Belem Do Sao Francisco,Informação insuficiente para verificar,1,1,PE,baixa,BELÉM DO SÃO FRANCISCO
ITUPIRANGA,Itupiranga,Informação insuficiente para verificar,1,1,PA,baixa,ITUPIRANGA
ALTO PARNAIBA,Alto Parnaiba,Informação insuficiente para verificar,1,1,MA,baixa,ALTO PARNAÍBA
MANDIROBA - DISTRITO,Mandiroba - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,MANDIROBA - Distrito
AMERICANA,Americana,Informação insuficiente para verificar,1,1,SP,baixa,AMERICANA
VILHENA,Vilhena,Informação insuficiente para verificar,1,1,RO,baixa,VILHENA
IGUARACI,Iguaraci,Informação insuficiente para verificar,1,1,PE,baixa,IGUARACI
TRIUNFO,Triunfo,Informação insuficiente para verificar,1,1,RS,baixa,TRIUNFO
MARCOLINO MOURA (RIO DE CONTAS),Marcolino Moura (Rio De Contas),Informação insuficiente para verificar,1,1,BA,baixa,MARCOLINO MOURA (RIO DE CONTAS)
RESENDE,Resende,Informação insuficiente para verificar,1,1,RJ,baixa,RESENDE
GUARANTA DO NORTE,Guaranta Do Norte,Informação insuficiente para verificar,1,1,MT,baixa,GUARANTÃ DO NORTE
CAMETA,Cameta,Informação insuficiente para verificar,1,1,PA,baixa,CAMETÁ
SAO GONCALO DO ABAETE,Sao Goncalo Do Abaete,Informação insuficiente para verificar,1,1,MG,baixa,SÃO GONÇALO DO ABAETÉ
SERRANA (BREJOES),Serrana (Brejoes),Informação insuficiente para verificar,1,1,BA,baixa,SERRANA (BREJÕES)
BETANIA DO PIAUI,Betania Do Piaui,Informação insuficiente para verificar,1,1,PI,baixa,BETÂNIA DO PIAUÍ
MONTE ALEGRE DE SERGIPE,Monte Alegre De Sergipe,Informação insuficiente para verificar,1,1,SE,baixa,MONTE ALEGRE DE SERGIPE
IBATIBA,Ibatiba,Informação insuficiente para verificar,1,1,ES,baixa,IBATIBA
CAMPO ALEGRE DE GOIAS,Campo Alegre De Goias,Informação insuficiente para verificar,1,1,GO,baixa,CAMPO ALEGRE DE GOIÁS
DUERE,Duere,Informação insuficiente para verificar,1,1,TO,baixa,DUERÊ
ACAUA,Acaua,Informação insuficiente para verificar,1,1,PI,baixa,ACAUÃ
CUMBE,Cumbe,Informação insuficiente para verificar,1,1,SE,baixa,CUMBE
TOMAR DO GERU,Tomar Do Geru,Informação insuficiente para verificar,1,1,SE,baixa,TOMAR DO GERU
VILA PAVAO,Vila Pavao,Informação insuficiente para verificar,1,1,ES,baixa,VILA PAVÃO
SANTA QUITERIA,Santa Quiteria,Informação insuficiente para verificar,1,1,CE,baixa,SANTA QUITÉRIA
SAO JOAO DO SABUGI,Sao Joao Do Sabugi,Informação insuficiente para verificar,1,1,RN,baixa,SÃO JOÃO DO SABUGI
VALINHOS,Valinhos,Informação insuficiente para verificar,1,1,SP,baixa,VALINHOS
TIROS,Tiros,Informação insuficiente para verificar,1,1,MG,baixa,TIROS
GUAPE,Guape,Informação insuficiente para verificar,1,1,MG,baixa,GUAPÉ
ILICINEA,Ilicinea,Informação insuficiente para verificar,1,1,MG,baixa,ILICÍNEA
LAGOA NOVA,Lagoa Nova,Informação insuficiente para verificar,1,1,RN,baixa,LAGOA NOVA
PARELHAS,Parelhas,Informação insuficiente para verificar,1,1,RN,baixa,PARELHAS
SAQUAREMA,Saquarema,Informação insuficiente para verificar,1,1,BA,baixa,SAQUAREMA
ACOPIARA,Acopiara,Informação insuficiente para verificar,1,1,CE,baixa,ACOPIARA
NINHEIRA,Ninheira,Informação insuficiente para verificar,1,1,MG,baixa,NINHEIRA
BOM JESUS DOS PERDOES,Bom Jesus Dos Perdoes,Informação insuficiente para verificar,1,1,SP,baixa,BOM JESUS DOS PERDÕES
MASSAPE,Massape,Informação insuficiente para verificar,1,1,CE,baixa,MASSAPÊ
PITANGUI,Pitangui,Informação insuficiente para verificar,1,1,MG,baixa,PITANGUI
NOVA BRASILANDIA,Nova Brasilandia,Informação insuficiente para verificar,1,1,MT,baixa,NOVA BRASILÂNDIA
ARAGUAINA,Araguaina,Informação insuficiente para verificar,1,1,TO,baixa,ARAGUAÍNA
SAMBAIBA,Sambaiba,Informação insuficiente para verificar,1,1,MA,baixa,SAMBAÍBA
TIMOTEO,Timoteo,Informação insuficiente para verificar,1,1,MG,baixa,TIMÓTEO
SAO ROQUE,Sao Roque,Informação insuficiente para verificar,1,1,SP,baixa,SÃO ROQUE
CAMPO LIMPO PAULISTA,Campo Limpo Paulista,Informação insuficiente para verificar,1,1,SP,baixa,CAMPO LIMPO PAULISTA
NOVA ODESSA,Nova Odessa,Informação insuficiente para verificar,1,1,SP,baixa,NOVA ODESSA
CABECEIRA DO JIBOIA - DISTRITO,Cabeceira Do Jiboia - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,CABECEIRA DO JIBÓIA - Distrito
ITAIPE,Itaipe,Informação insuficiente para verificar,1,1,MG,baixa,ITAIPÉ
ALVARES MACHADO,Alvares Machado,Informação insuficiente para verificar,1,1,SP,baixa,Álvares Machado
IRAPORANGA - DISTRITO,Iraporanga - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,IRAPORANGA - Distrito
ALTAMIRA,Altamira,Informação insuficiente para verificar,1,1,PA,baixa,ALTAMIRA
ABOBORA,Abobora,Informação insuficiente para verificar,1,1,BA,baixa,ABÓBORA
VILA DO CAFE - DISTRITO,Vila Do Cafe - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,VILA DO CAFÉ - Distrito
GUARAITA,Guaraita,Informação insuficiente para verificar,1,1,GO,baixa,GUARAÍTA
PONTA DA AREIA - DISTRITO,Ponta Da Areia - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,PONTA DA AREIA - Distrito
SANTO ANTONIO DE BARCELONA - CARAVELAS,Santo Antonio De Barcelona - Caravelas,Informação insuficiente para verificar,1,1,BA,baixa,SANTO ANTÔNIO DE BARCELONA - CARAVELAS
CADEIAS,Cadeias,Informação insuficiente para verificar,1,1,BA,baixa,Cadeias
GUARAI,Guarai,Informação insuficiente para verificar,1,1,TO,baixa,GUARAÍ
SEBASTIAO BARROS,Sebastiao Barros,Informação insuficiente para verificar,1,1,PI,baixa,SEBASTIÃO BARROS
ARRAIAL D'AJUDA,Arraial D'Ajuda,Informação insuficiente para verificar,1,1,BA,baixa,ARRAIAL D'AJUDA
MURIBECA,Muribeca,Informação insuficiente para verificar,1,1,SE,baixa,MURIBECA
ITAMIRA,Itamira,Informação insuficiente para verificar,1,1,BA,baixa,ITAMIRA
CARAGUATATUBA,Caraguatatuba,Informação insuficiente para verificar,1,1,SP,baixa,CARAGUATATUBA
PRES PRUDENTE,Pres Prudente,Informação insuficiente para verificar,1,1,SP,baixa,PRES PRUDENTE
MARICOABO - DISTRITO,Maricoabo - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,MARICOABO - Distrito
AGUA BOA,Agua Boa,Informação insuficiente para verificar,1,1,MG,baixa,ÁGUA BOA
MATA VERDE,Mata Verde,Informação insuficiente para verificar,1,1,MG,baixa,MATA VERDE
FRANCISCO SA,Francisco Sa,Informação insuficiente para verificar,1,1,MG,baixa,Francisco Sá
ITAQUARAI - DISTRITO,Itaquarai - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,ITAQUARAÍ - Distrito
MONTE DO CARMO,Monte Do Carmo,Informação insuficiente para verificar,1,1,TO,baixa,MONTE DO CARMO
RIO DA CONCEICAO,Rio Da Conceicao,Informação insuficiente para verificar,1,1,TO,baixa,RIO DA CONCEIÇÃO
ARIQUEMES,Ariquemes,Informação insuficiente para verificar,1,1,RO,baixa,ARIQUEMES
TAPIRANGA - DISTRITO,Tapiranga - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,TAPIRANGA - Distrito
MANUEL DUARTE - DISTRITO,Manuel Duarte - Distrito,Informação insuficiente para verificar,1,1,RJ,baixa,MANUEL DUARTE - Distrito
CASCAVEL,Cascavel,Informação insuficiente para verificar,1,1,CE,baixa,CASCAVEL
SAO FELIX DO ARAGUAIA,Sao Felix Do Araguaia,Informação insuficiente para verificar,1,1,MT,baixa,SÃO FÉLIX DO ARAGUAIA
ABAIARA,Abaiara,Informação insuficiente para verificar,1,1,CE,baixa,ABAIARA
ARAPIRANGA - DISTRITO,Arapiranga - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,ARAPIRANGA - Distrito
TAILANDIA,Tailandia,Informação insuficiente para verificar,1,1,PA,baixa,TAILÂNDIA
LENCOIS PAULISTA,Lencois Paulista,Informação insuficiente para verificar,1,1,SP,baixa,LENÇÓIS PAULISTA
BARRA DE SAO MIGUEL,Barra De Sao Miguel,Informação insuficiente para verificar,1,1,AL,baixa,BARRA DE SÃO MIGUEL
SAO RAIMUNDO NONATO,Sao Raimundo Nonato,Informação insuficiente para verificar,1,1,PI,baixa,SÃO RAIMUNDO NONATO
GLORIA DO GOITA,Gloria Do Goita,Informação insuficiente para verificar,1,1,PE,baixa,GLÓRIA DO GOITÁ
EXU,Exu,Informação insuficiente para verificar,1,1,PE,baixa,EXU
MANIACU - DISTRITO,Maniacu - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,MANIAÇU - Distrito
PINHEIROS,Pinheiros,Informação insuficiente para verificar,1,1,ES,baixa,PINHEIROS
CAMPINA GRANDE,Campina Grande,Informação insuficiente para verificar,1,1,PB,baixa,CAMPINA GRANDE
TAUAPE - DISTRITO,Tauape - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,TAUAPÉ - Distrito
IRACEMA,Iracema,Informação insuficiente para verificar,1,1,CE,baixa,IRACEMA
SAO MARCOS,Sao Marcos,Informação insuficiente para verificar,1,1,RS,baixa,SÃO MARCOS
BARUERI,Barueri,Informação insuficiente para verificar,1,1,SP,baixa,BARUERI
PIPA - DISTRITO,Pipa - Distrito,Informação insuficiente para verificar,1,1,RN,baixa,PIPA - Distrito
LAVANDEIRA,Lavandeira,Informação insuficiente para verificar,1,1,TO,baixa,LAVANDEIRA
MAR GRANDE - DISTRITO,Mar Grande - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,MAR GRANDE - Distrito
NOVO ORIENTE DE MINAS,Novo Oriente De Minas,Informação insuficiente para verificar,1,1,MG,baixa,NOVO ORIENTE DE MINAS
CHARQUEADAS,Charqueadas,Informação insuficiente para verificar,1,1,RS,baixa,CHARQUEADAS
JAGUARA - DISTRITO,Jaguara - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,JAGUARA - Distrito
ALMAS,Almas,Informação insuficiente para verificar,1,1,TO,baixa,ALMAS
BRACO DO NORTE,Braco Do Norte,Informação insuficiente para verificar,1,1,SC,baixa,BRAÇO DO NORTE
CABRALIA - DISTRITO,Cabralia - Distrito,Informação insuficiente para verificar,1,1,BA,baixa,CABRÁLIA - Distrito
CAMPOS GOYTACAZES,Campos Goytacazes,Informação insuficiente para verificar,1,1,RJ,baixa,CAMPOS GOYTACAZES
BARROLANDIA (BELMONTE),Barrolandia (Belmonte),Informação insuficiente para verificar,1,1,BA,baixa,BARROLÂNDIA (BELMONTE)
LIZARDA,Lizarda,Informação insuficiente para verificar,1,1,TO,baixa,LIZARDA
