municipio,n_registros,n_valores,mediana_valor,p25_valor,p75_valor
LUIS EDUARDO MAGALHAES,55,55,2150.0,300.0,3500.0
SÃO SEBASTIÃO - DISTRITO,51,32,2476.5,1000.0,7000.0
CATINGA DO MOURA - DISTRITO,46,39,500.0,171.3,1000.0
ASSIS BRASIL,46,46,1000.0,1000.0,10000.0
NÚCLEO RESIDENCIAL PILAR (JAGUARARI),44,43,10000.0,10000.0,10000.0
AREMBEPE (CAMAÇARI),44,41,3838513.38,5000.0,3838513.38
MANIÇOBA (JUAZEIRO),43,17,1000.0,1.0,1000.0
JUNCO - DISTRITO,43,35,1000.0,1000.0,15200.0
CARAIVA - DISTRITO,39,35,1500.0,800.0,2000.0
IBÓ - DISTRITO,38,20,9400.0,1000.0,15000.0
BOA UNIÃO,37,37,285.0,145.0,760.0
HUMILDES,37,16,2781.32,803.75,14254.0
ARITAGUÁ - DISTRITO,37,24,5000.0,1875.0,3100000.0
JEQUIRIÇÁ,34,18,1782.0,400.0,2416.42
EUNAPOLIS,34,31,1.77,1.77,1.77
ITAMIRA - DISTRITO,34,33,1000.0,88.78,196602.42
MATARIPE - DISTRITO,33,21,411701.08,14890.0,411701.08
RODA VELHA,33,29,1000.0,1000.0,4500.0
SANTO ANTÔNIO DE BARCELONA - DISTRITO,33,23,1000.0,1000.0,3000.0
BOA UNIÃO (ALAGOINHAS),32,29,710.0,346.0,2500.0
BARRA DO POJUCA,32,25,2000.0,1200.0,10000.0
SÃO JOSÉ DO RIO GRANDE - DISTRITO,32,25,3500.0,800.0,32242.42
NARANDIBA - DISTRITO,31,23,142.0,90.0,465.0
MATINHA,31,26,129.5,62.75,210.0
ITABATAN (MUCURI),31,20,5600.0,4475.0,7406170.3
SANTO ANTÔNIO,30,20,800.0,139.72,1269.75
RODA VELHA (SÃO DESIDÉRIO),30,30,3000.0,3000.0,5000.0
RIO DO MEIO - DISTRITO,30,19,500.0,10.0,304243.14
QUARAÇU - DISTRITO,29,29,500.0,500.0,500.0
BONFIM DA FEIRA - DISTRITO,29,21,1000.0,470.0,1000.0
PINHÕES - DISTRITO,29,18,900.0,95.89,4000.0
LAGOA GRANDE - DISTRITO,29,26,1000.0,1000.0,1000.0
IBITIRA - DISTRITO,29,13,1000.0,1.0,1000.0
PRADOSO - DISTRITO,29,16,1150.0,500.0,2363.25
ITANAGÉ - DISTRITO,28,28,1000.0,500.0,1500.0
LUCAIA - DISTRITO,28,22,158900.99,158900.99,174831.98
SÍTIO GRANDE - DISTRITO,28,21,200.0,1.77,1200.0
DIAS DÁVILA,27,20,115339.52,250.0,19093984.91
MARCOLINO MOURA - DISTRITO,27,23,600.0,550.0,800.0
PORTO SAUÍPE (ENTRE RIOS),27,18,1000.0,1000.0,3000.0
INHANGAPI,27,27,2800.0,2800.0,2800.0
SÃO SEBASTIÃO DO PASSÉ,26,25,2590.0,1100.0,8000.0
TRANCOSO,26,18,4000.0,925.0,4000.0
HELVECIA - DISTRITO,25,12,1500.0,1500.0,1625.0
SANTO ESTEVAO,25,25,1000.0,1000.0,1200.0
ARRAIAL D,25,11,2000.0,1250.0,2000.0
JUREMAL (JUAZEIRO),25,0,,,
CABRÁLIA - DISTRITO,24,21,2500.0,1.0,2500.0
BARAÚNAS - DISTRITO,24,24,33438673.29,4387886.58,62489459.99
IRUNDIARA - DISTRITO,24,24,5000.0,1000.0,5000.0
VALENCA,24,24,4800.0,4800.0,4800.0
CUMURUXATIBA (PRADO),23,21,500.0,500.0,47000.0
BANDEIRA DO COLÔNIA - DISTRITO,23,19,500.0,1.0,625.0
LAGOA PRETA - DISTRITO,23,23,500.0,500.0,1000.0
SÃO JOÃO DA VITÓRIA,22,22,832.0,500.0,1500.0
VELHA BOIPEBA - DISTRITO,22,18,2300.0,1800.0,4650.0
MONTE GORDO (CAMAÇARI),22,20,2650.0,990.0,3000.0
GAMBOA - DISTRITO,21,16,1000.0,600.0,1000.0
CATINGAL - DISTRITO,21,7,1.66,1.66,1400.0
JAGUARA - DISTRITO,21,19,7800.0,1500.0,13565264.6
LUIS E MAGALHAES,21,21,100.0,100.0,100.0
ARRAIAL D\,21,21,1000.0,1.0,1000.0
ARRAIAL D AJUDA (PORTO SEGURO),21,4,,,
ENGENHEIRO PONTES - DISTRITO,21,21,1500.0,1500.0,2000.0
ARAPIRANGA - DISTRITO,20,20,10.0,10.0,10.0
MARIA QUITÉRIA (FEIRA DE SANTANA),20,10,3000.0,1000.0,3000.0
PIRAJÁ,20,0,,,
PALAME - DISTRITO,19,17,14430.0,4000.0,16840.0
MASSAROCA (JUAZEIRO),19,16,10000.0,5865.0,20000.0
MENINO JESUS - DISTRITO,19,2,,,
PREVENIDO - DISTRITO,19,12,2800.0,2800.0,2800.0
LAGOA JOSÉ LUÍS,19,14,1500.0,100.0,2595.0
MATEIROS,19,19,1000.0,1000.0,1000.0
CABÔTO - DISTRITO,17,16,5000.0,5000.0,191137.83
PORTO NOVO - DISTRITO,17,15,2000.0,500.0,3000.0
BARREIROS - DISTRITO,17,17,1000.0,800.0,1000.0
ARGOLO - DISTRITO,16,8,1000.0,875.0,1000.0
SALOBRO - DISTRITO,16,15,2000.0,2000.0,2000.0
SINOP,16,16,3604197.67,3604197.67,3604197.67
BANDEIRA DO COLÔNIA (ITAPETINGA),16,16,2500.0,2500.0,2500.0
ITUPEVA - DISTRITO,15,9,3000.0,600.0,8000.0
ITABATAN,15,0,,,
COLÔNIA DO FORMOSO (CORIBE),15,11,1500.0,1200.0,1500.0
MONTE GORDO,15,10,28000.0,3750.0,13456583.37
ITAQUARAÍ - DISTRITO,14,12,50.89,1.77,1000.0
CINCO RIOS - DISTRITO,14,6,1000.0,556.65,1075.0
EPITACIOLÂNDIA,14,14,26000.0,26000.0,26000.0
IBIRITÉ,14,14,23188390.61,23188390.61,23188390.61
SÃO SEBASTIÃO,13,7,1.77,1.77,765.0
SUSSUARANA (TANHAÇU),13,11,1.0,1.0,1.0
VALE VERDE - DISTRITO,13,7,2000.0,1750.0,3000.0
CAMASSANDI - DISTRITO,13,8,2287.84,1649.7,25477.45
ITAPIREMA,13,5,1000.0,1000.0,1000.0
NOVA ALEGRIA - DISTRITO,13,11,1000.0,1000.0,1000.0
CAETITE,13,6,38000.0,38000.0,38000.0
CASTELO NOVO - DISTRITO,13,2,,,
BURANHÉM,12,12,0.01,0.01,0.01
TABOQUINHAS - DISTRITO,12,8,6000.0,1000.0,325804.3
CABECEIRA DO JIBÓIA - DISTRITO,12,8,650.0,500.0,800.0
COUTOS - DISTRITO,12,12,1000.0,1000.0,1000.0
ALGODÕES - DISTRITO,12,11,1000.0,1000.0,2675.0
NATAL,12,12,1.0,1.0,1.0
CARRAPICHEL (SENHOR DO BONFIM),12,8,1639083.51,1639083.51,1639083.51
JAÍBA (FEIRA DE SANTANA),11,8,2500.0,875.0,3000.0
ITAÍTU - DISTRITO,11,9,1600.0,1200.0,4000.0
ABRANTES,11,7,5928.0,300.0,18581.93
ARACAJU,11,11,34516210.35,34516210.35,34516210.35
ARRAIAL D'AJUDA,11,11,1000.0,1000.0,1000.0
MAR GRANDE - DISTRITO,11,11,298009.77,198216.36,1218248.02
CAIÇARA,11,5,2200.0,1500.0,2200.0
IBICARAI,10,0,,,
ARITAGUÁ,10,8,420.0,121.5,477.5
IBÓ,10,10,70.0,56.25,122.5
BANDIAÇU - DISTRITO,10,2,,,
VEREDINHA - DISTRITO,10,10,100.0,100.0,200.0
ITAJAÍ - DISTRITO,10,10,610848.21,1.77,610848.21
BANCO CENTRAL - DISTRITO,10,5,2000.0,2000.0,5588.7
ITAMOTINGA,10,7,1.0,1.0,1.0
SERRA GRANDE - DISTRITO,10,8,177.5,127.5,320.0
LAJEDO ALTO - DISTRITO,10,4,,,
IRECE,10,10,3000.0,3000.0,3000.0
TAUAPÉ - DISTRITO,10,7,2500.0,1500.0,2500.0
SANTO ESTÊVÃO,10,10,4000.0,4000.0,4000.0
VILA DO CAFÉ - DISTRITO,9,6,500.0,200.0,2375.0
PONTA DA AREIA - DISTRITO,9,9,600.0,600.0,1000.0
PASSAGEM DOS TEIXEIRAS - DISTRITO,9,9,280.0,280.0,500.0
SANTO ANTONIO DE JESUS,9,7,1.0,1.0,1000.0
CARNAÍBA DO SERTÃO,9,0,,,
CACHOEIRA DO MATO - DISTRITO,9,4,,,
IPIAU,9,9,10000.0,10000.0,97371.29
BOTUCATU,9,9,600.0,600.0,600.0
CATOLÉS - DISTRITO,9,9,1000.0,500.0,8000.0
MANIAÇU - DISTRITO,9,1,,,
SALINÓPOLIS,9,9,500.0,500.0,500.0
CAMPO FORMOSO - DISTRITO,8,1,,,
LAMARÃO DO PASSE - DISTRITO,8,5,3300.0,3300.0,3600.0
LAMARÃO DO PASSE,8,0,,,
INEMA - DISTRITO,8,8,95599.88,11500.0,177699.75
IBIAJARA - DISTRITO,8,4,,,
ACUPE - DISTRITO,8,7,1000.0,1000.0,4643.5
PEDRAS ALTAS DO MIRIM - DISTRITO,8,8,1250.0,1000.0,1500.0
TEOLANDIA,8,8,258660.61,258660.61,258660.61
AÇU DA TORRE - DISTRITO,8,1,,,
RIALMA,8,8,10000.0,10000.0,10000.0
BRASÍLIA,8,8,100.0,100.0,100.0
CAMPO LIMPO PAULISTA,8,8,3000.0,3000.0,3000.0
MACAÍBA,8,0,,,
PAIOL - DISTRITO,8,8,1309376.34,1309376.34,1309376.34
ITAIA (FIRMINO ALVES),8,8,1400.0,1400.0,1400.0
COQUEIROS,8,8,8000.0,8000.0,8000.0
MATA DE SAO JOAO,8,2,,,
SÃO ROQUE DO PARAGUAÇU - DISTRITO,7,2,,,
CANDIDO SALES,7,7,1.77,1.77,1.77
SANTO INÁCIO - DISTRITO,7,7,670.0,290.0,770.0
INHOBIM (VITÓRIA DA CONQUISTA),7,6,1.77,1.77,1.77
RIO DO BRAÇO - DISTRITO,7,5,300.0,300.0,330.0
JUREMAL - DISTRITO,7,4,,,
JUPAGUÁ - DISTRITO,7,2,,,
GABIARRA - DISTRITO,7,7,2700.0,2050.0,7500.0
RIACHO DA GUIA,7,7,50.0,47.5,123.5
VIÇOSA,7,7,1000.0,1000.0,1000.0
IBIPETUM - DISTRITO,7,7,560.0,500.0,560.0
JUERANA - DISTRITO,7,1,,,
CAVUNGE - DISTRITO,7,6,500.0,392.0,500.0
SAO DESIDERIO,7,7,5000.0,3500.0,5000.0
887,7,7,1.0,1.0,1.0
SALGADÁLIA - DISTRITO,6,3,,,
TAUAPÉ,6,6,1100.0,1100.0,1175.0
CRISOPOLIS,6,6,1500.0,1500.0,1500.0
EUNÁPOLISBA,6,6,1.77,1.77,1.77
CARAÍBAS - DISTRITO,6,4,,,
ARRAIAL D\'AJUDA (PORTO SEGURO),6,5,1.0,1.0,1.0
LAJE DO BANCO - DISTRITO,6,6,610.0,241.25,911.25
NOVA VICOSA,6,6,600.0,600.0,787.5
PARAFUSO (CAMAÇARI),6,6,7500.0,4033.2,7500.0
AREIAS,6,6,2000.0,1700.0,2000.0
TIQUARUÇU (FEIRA DE SANTANA),6,6,6300.0,3075.0,6300.0
BURACICA (TEODORO SAMPAIO),6,6,142.0,142.0,142.0
RIACHO DA GUIA (ALAGOINHAS),6,6,575.0,500.0,4662.5
ITABERABA-BA,6,6,1300.0,1300.0,1300.0
RECIFE - DISTRITO,6,6,1200.0,1200.0,6300.0
MASSAROCA - DISTRITO,6,6,22192.36,467.94,604223.24
SERRANA (BREJÕES),6,4,,,
RIACHÃO DO JACUIPE,6,6,1200.0,1200.0,1200.0
BRUMAD0,6,6,1000.0,1000.0,1000.0
CAMPINAS,6,6,450000.0,450000.0,450000.0
FOZ DO IGUAÇU,6,6,300000.0,300000.0,300000.0
ITACARE,6,6,1.0,1.0,1.0
PATAÍBA - DISTRITO,6,5,8000.0,1000.0,8000.0
ICONHA,6,0,,,
GABIARRA (EUNÁPOLIS),5,3,,,
TAQUARINHA - DISTRITO,5,5,1500.0,1500.0,2000.0
BARRA AVENIDA - DISTRITO,5,3,,,
IGARITÉ - DISTRITO,5,4,,,
ILHA DE MARÉ,5,5,1000.0,800.0,8300.0
IBITIRA,5,0,,,
MARICOABO - DISTRITO,5,3,,,
MORRO DE SÃO PAULO,5,5,650.0,525.0,650.0
TAGUÁ - DISTRITO,5,5,1.0,1.0,1.0
ILHEUS,5,5,900.0,900.0,1000.0
SIMOES FILHO,5,5,5000.0,5000.0,5000.0
JUNCO (JUAZEIRO),5,1,,,
XIQUEXIQUE,5,5,10000.0,10000.0,10000.0
TIJUAÇÚ - DISTRITO,5,5,8500.0,8500.0,9000.0
IBIRAJÁ - DISTRITO,5,2,,,
NOVO ACRE,5,5,21847.16,21847.16,21847.16
SÃO JOSÉ DO RIO PRETO,5,0,,,
JOÃO AMARO - DISTRITO,5,0,,,
ABELHAS,5,0,,,
COLATINA,5,5,1.0,1.0,1.0
IUIÚ,5,5,2500.0,2500.0,2500.0
CADEIAS,5,5,62000.0,62000.0,62000.0
LAGOA JOSÉ LUÍS (VITÓRIA DA CONQUISTA),4,4,,,
SALDANHA - DISTRITO,4,0,,,
LUIS EDUARDO MAGALHÃES,4,3,,,
IRUNDIARA,4,0,,,
CRUZEIRO DO SUL,4,4,,,
IBITIRA (RIO DO ANTÔNIO),4,0,,,
BARRA GRANDE,4,2,,,
BAIANOPOLIS,4,0,,,
WENCESLAU GUIMARAES,4,4,,,
FLORESTAL,4,3,,,
MORRO DE SÃO PAULO (CAIRU),4,3,,,
TAPIRANGA - DISTRITO,4,4,,,
ILHA DOS FRADES,4,4,,,
AÇU DA TORRE (MATA DE SÃO JOÃO),4,4,,,
CAMACARI,4,1,,,
BREJINHO DAS AMETISTAS - DISTRITO,4,1,,,
MACEIÓ,4,4,,,
SAO SEBASTIAO DO PASSE,4,4,,,
SANTANA DO SOBRADO,4,4,,,
POSTO DA MATA - NOVA VIÇOSA,4,4,,,
PASSÉ,4,0,,,
DIAS D`ÁVILA,4,4,,,
BRASILÉIA,4,4,,,
CAETÉ-AÇU (PALMEIRAS),4,4,,,
GUIRAPA - DISTRITO,4,4,,,
HIDROLÂNDIA - DISTRITO,4,4,,,
BARRA DO JACUÍPE (CAMAÇARI),4,4,,,
CANATIBA - DISTRITO,4,4,,,
QUIXABÁ,4,4,,,
ALEGRE - DISTRITO,4,4,,,
BARRA GRANDE - DISTRITO,4,4,,,
BARRO VERMELHO,3,0,,,
GAMELEIRA DA LAPA - DISTRITO,3,3,,,
UMBUZEIRO - DISTRITO,3,3,,,
LUZIÂNIA,3,3,,,
FATIMA,3,3,,,
POÇOS CALDAS,3,3,,,
ITAIBÓ - DISTRITO,3,3,,,
UAUA,3,0,,,
BELÉM DA CACHOEIRA - DISTRITO,3,3,,,
INHAÚMAS - DISTRITO,3,3,,,
CORACAO DE MARIA,3,3,,,
MARIQUITA,3,3,,,
NILÓPOLIS,3,0,,,
VELHA BOIPEBA,3,3,,,
JACUÍPE,3,3,,,
TAPIRAÍPE - DISTRITO,3,3,,,
ITATI - DISTRITO,3,0,,,
ARRAIAL DAJUDA (PORTO SEGURO),3,3,,,
LAGOA DO BOI - DISTRITO,3,0,,,
POÇO DE FORA - DISTRITO,3,0,,,
MADEIRA - DISTRITO,3,3,,,
BARCELOS DO SUL - DISTRITO,3,0,,,
MANDIROBA - DISTRITO,3,2,,,
MINAS DO MIMOSO - DISTRITO,3,3,,,
SALGADÁLIA (CONCEIÇÃO DO COITÉ),3,3,,,
PASSÉ - DISTRITO,3,3,,,
FERRAZ VASCONCELOS,3,3,,,
MORRO DO CHAPEU,3,3,,,
JOSÉ GONÇALVES (VITÓRIA DA CONQUISTA),3,3,,,
ATIBAIA,3,0,,,
PINHEIROS,2,2,,,
CAMASSANDI,2,2,,,
CARRAPICHEL - DISTRITO,2,2,,,
ARARAS,2,2,,,
PATAMUTÉ - DISTRITO,2,2,,,
CAMPINHOS - DISTRITO,2,1,,,
JUERANA,2,2,,,
PRADOSO (VITÓRIA DA CONQUISTA),2,0,,,
SERRA GRANDE,2,2,,,
FRANÇA - DISTRITO,2,0,,,
BURIS DE ABRANTES,2,0,,,
S PAULO,2,2,,,
TIQUARUÇU,2,2,,,
BOA VISTA DO LAGAMAR - DISTRITO,2,2,,,
COLÔNIA - DISTRITO,2,2,,,
ITAPE,2,2,,,
LUÍS E MAGALHÃES,2,2,,,
SÃO MIGUEL DOS CAMPOS,2,2,,,
MARACAS,2,2,,,
HELVECIA,2,0,,,
ABÓBORA - DISTRITO,2,0,,,
CABECEIRA DO JIBÓIA,2,0,,,
CONCEICAO DO JACUIPE,2,2,,,
GLORIA,2,2,,,
GOVERNADOR JOÃO DURVAL CARNEIRO (FEIRA DE SANTANA),2,2,,,
SÃO JOSÉ DO COLÔNIA - DISTRITO,2,2,,,
BOCA DO CÓRREGO - DISTRITO,2,2,,,
FRANÇA,2,2,,,
INHATA - DISTRITO,2,2,,,
INÚBIA - DISTRITO,2,2,,,
PAU A PIQUE - DISTRITO,2,0,,,
SANTANA DO SOBRADO (CASA NOVA),2,2,,,
CABACEIRAS,2,2,,,
BURACICA - DISTRITO,2,1,,,
JAGUARA,2,0,,,
LAGOA GRANDE (CÂNDIDO SALES),2,2,,,
NOVA BRASÍLIA - DISTRITO,2,2,,,
ITAPIPOCA,2,2,,,
MUTAS,2,2,,,
MOGIQUIÇABA - DISTRITO,2,2,,,
PIRAI DO NORTE E GANDU,2,2,,,
BOM SOSSEGO - DISTRITO,2,2,,,
RIO BRANCO,2,0,,,
GUARAJUBA (CAMAÇARI),2,2,,,
ABÓBORA,2,1,,,
BUJARI,2,2,,,
UBIRAITÁ - DISTRITO,2,2,,,
RECIFE,2,0,,,
PIRAI DO NORTE,2,2,,,
S SEBASTIAO DO PASSE,2,2,,,
BATE PÉ - DISTRITO,2,2,,,
ILHA DE BOM JESUS DOS PASSOS,2,2,,,
VILA DE ABRANTES,2,0,,,
MIMOSO (SÁTIRO DIAS),2,0,,,
IPUCABA - DISTRITO,2,2,,,
PARINTINS,2,0,,,
MARCOLINO MOURA (RIO DE CONTAS),2,2,,,
SAQUAREMA,2,2,,,
BOA VISTA,2,0,,,
SANTO ANTÔNIO DE BARCELONA - CARAVELAS,2,2,,,
ITAMIRA,2,2,,,
JEQUIE,2,0,,,
POSTO DA MATA (NOVA VICOSA),1,1,,,
CONCEIÇAO DO ALMEIDA,1,1,,,
GOVERNADOR JOÃO DURVAL CARNEIRO,1,1,,,
CONCEICAO DO COITE,1,0,,,
CARAÍPE - DISTRITO,1,1,,,
VÁRZEA GRANDE,1,1,,,
SANTA MARIA DA VITÓIRA,1,1,,,
ACRELÂNDIA,1,1,,,
LENCOIS,1,1,,,
SANTARÉM,1,1,,,
MIRANDELA - DISTRITO,1,0,,,
CENTRO DO GUILHERME,1,1,,,
IGATU - DISTRITO,1,0,,,
CACHA PREGOS - DISTRITO,1,1,,,
TAPÚIA - DISTRITO,1,0,,,
LIMOEIRO DO BOM VIVER,1,0,,,
CALDAS DO JORRO (TUCANO),1,0,,,
BARRO VERMELHO (CURAÇÁ),1,1,,,
LUSTOSA - DISTRITO,1,1,,,
EXTREMOZ,1,1,,,
CORONEL JOAO SA,1,1,,,
IPECAETA,1,1,,,
ITABAIANA,1,1,,,
POXIM DO SUL - DISTRITO,1,1,,,
TANHACU,1,0,,,
CANCHÉ - DISTRITO,1,0,,,
CONDEUBA,1,0,,,
GUARUJÁ,1,1,,,
MARAU,1,0,,,
BENDEGÓ - DISTRITO,1,1,,,
NAGÉ - DISTRITO,1,1,,,
STO ANTONIO DE JESUS,1,1,,,
ARCOVERDE,1,1,,,
RIO GRANDE,1,1,,,
BREJINHO DAS AMETISTAS (CAETITÉ),1,1,,,
LUÍS VIANA - DISTRITO,1,1,,,
LAGOA CLARA - DISTRITO,1,1,,,
ALGODÃO - DISTRITO,1,1,,,
VITÓRIA,1,1,,,
PONTE ALTA DO BOM JESUS,1,1,,,
TRÊS LAGOAS,1,1,,,
MOGIQUIÇABA,1,1,,,
SANTA RITA DE CASSIA,1,0,,,
SALOBRO,1,0,,,
ALTO HORIZONTE,1,0,,,
JABOATÃO DOS GUARARAPES,1,1,,,
BETIM,1,1,,,
BOM SOSSEGO,1,1,,,
CARAGUATAÍ - DISTRITO,1,1,,,
MENSAL,1,1,,,
BATINGA,1,1,,,
BELA VISTA (SÁTIRO DIAS),1,1,,,
LICINIO DE ALMEIDA,1,1,,,
JUREMAL,1,1,,,
ITUPEVA,1,1,,,
PALAME (ESPLANADA),1,1,,,
NOVA IBIA,1,1,,,
SÃO TIMÓTEO - DISTRITO,1,0,,,
SUBAÚMA (ENTRE RIOS),1,1,,,
CATU DE ABRANTES / CAMAÇARI,1,1,,,
SÃO JOSÉ DE MIPIBU,1,0,,,
MANAUS,1,1,,,
CAETÉ-AÇU,1,0,,,
JAPU - DISTRITO,1,1,,,
NAZARE,1,0,,,
IGUAIBI - DISTRITO,1,1,,,
JAPU,1,0,,,
SUSSUARANA - DISTRITO,1,1,,,
INHOBIM,1,0,,,
ANAGE,1,1,,,
UBERLÂNDIA,1,1,,,
OUTROS,1,1,,,
ITUIUTABA,1,1,,,
SANTANOPOLIS,1,1,,,
CAROBA,1,1,,,
CAMPO ALEGRE DE LOUDES,1,1,,,
PINDOBAÇU-BA,1,1,,,
CIDADE OCIDENTAL,1,1,,,
JAPOMIRIM (ITAGIBÁ),1,1,,,
BREJO NOVO - DISTRITO,1,1,,,
NOVA CANAA,1,0,,,
CARAIBUNA - DISTRITO,1,0,,,
IBIASSUCE,1,1,,,
BREJO GRANDE DO ARAGUAIA,1,0,,,
SALOBRINHO (ILHÉUS),1,0,,,
SAO GABRIEL,1,1,,,
POÇO VERDE,1,0,,,
IRAPORANGA - DISTRITO,1,0,,,
AMELIA RODRIGUES,1,0,,,
BARROLÂNDIA (BELMONTE),1,0,,,
