municipio,n_registros,n_valores,mediana_valor,p25_valor,p75_valor
BAIANÓPOLIS,1299,912,1000.0,70.0,3000.0
CARAVELAS,1297,858,1000.0,108.6,5340.75
PINDAÍ,1259,694,800.0,300.0,5000.0
PIATÃ,1253,928,4000.0,1500.0,6000.0
CURAÇÁ,1249,833,10.0,1.0,2204.0
OLIVEIRA DOS BREJINHOS,1234,755,1700.0,840.0,5000.0
UAUÁ,1227,918,1500.0,500.0,3400.0
ITACARÉ,1208,923,2100.0,237.75,21090.0
ITAPICURU,1173,943,1000.0,102.44,6096.4
MUCUGÊ,1165,828,2500.0,357.5,6060.0
MEDEIROS NETO,1160,796,2000.0,500.0,8000.0
COCOS,1159,819,1300.0,1.78,45000.0
ADUSTINA,1140,978,808.5,160.0,2500.0
ANGICAL,1133,836,710.0,200.0,2262.5
BELMONTE,1128,843,736.6,1.77,1587.37
ITAGIBÁ,1128,705,2800.0,1000.0,10000.0
SANTA RITA DE CÁSSIA,1124,795,1200.0,200.0,3000.0
SÃO SEBASTIÃO DO PASSE,1119,714,2056.34,1000.0,81000.0
SANTO AMARO,1106,790,1434.0,300.0,11590.43
SANTANA,1092,717,2000.0,800.0,10800.0
ARRAIAL D AJUDA - DISTRITO,1074,857,1212.0,800.0,2000.0
DOM BASÍLIO,1072,859,1000.0,1000.0,1000.0
UMBURANAS,1063,642,6000.0,1200.0,477843.35
GENTIO DO OURO,1062,816,904396.04,5000.0,22439745.73
IBICUÍ,1054,892,1000.0,850.0,3000.0
MONTE SANTO,1054,783,2000.0,1000.0,19252.5
TANHAÇU,1045,792,1000.0,80.75,3000.0
CANDIBA,1040,867,380.0,120.0,1500.0
IGAPORÃ,1039,683,1000.0,500.0,4400.0
CAIRU,1031,498,2000.0,159.99,6150.0
PRESIDENTE TANCREDO NEVES,1025,922,1000.0,221.25,2800.0
TRANCOSO - DISTRITO,1022,823,1000.0,1000.0,2500.0
URANDI,1020,656,2000.0,500.0,10000.0
TEIXEIRA FREITAS,1019,829,1500.0,1000.0,3500.0
COTEGIPE,1017,851,2000.0,300.0,3500.0
CORAÇÃO DE MARIA,1005,770,1000.0,200.0,4417.5
PALMAS DE MONTE ALTO,997,694,1287.5,408.86,3500.0
PARATINGA,973,703,1000.0,500.0,5000.0
CANAVIEIRAS,953,672,1241.0,100.0,5000.0
MIGUEL CALMON,944,775,1500.0,700.0,22422.5
VITÓRIA CONQUISTA,933,561,3750.0,1000.0,7500.0
ITABATAN - DISTRITO,932,718,600.0,250.0,1000.0
CAMAMU,927,622,1300.0,500.0,2075.0
UNA,924,666,1500.0,600.0,5574.75
SANTALUZ,922,632,2500.0,1311.5,629922.67
CANSANÇÃO,920,806,1350.0,962.5,2500.0
ANAGÉ,917,767,500.0,75.0,2000.0
CRISTÓPOLIS,912,823,2000.0,400.0,3750.0
CIPÓ,911,761,1000.0,1.0,2000.0
MUTUÍPE,909,797,1000.0,500.0,2000.0
PLANALTO,908,629,1200.0,1.77,3000.0
CANARANA,903,745,1000.0,158.0,4000.0
GLÓRIA,893,412,1200.0,500.0,21847.16
TANQUE NOVO,891,519,1000.0,400.0,5625.0
CAFARNAUM,880,599,2500.0,617.53,6661.5
LICÍNIO DE ALMEIDA,878,734,1000.0,300.0,3600.0
CONDEÚBA,871,757,1400.0,650.0,3453.0
UBAÍRA,867,558,2675.0,1500.0,79185.29
IBITIARA,862,696,1000.0,1.0,3000.0
MADRE DE DEUS,861,696,7850.0,6000.0,5420000.0
REMANSO,844,645,2200.0,1000.0,6000.0
LAJE,840,564,1000.0,100.0,2000.0
IGUAÍ,820,563,1000.0,300.0,101030.0
SÁTIRO DIAS,819,715,1200.0,320.0,5211.68
IBIPEBA,812,732,2800.0,1000.0,26000.0
WANDERLEY,809,500,1000.0,335.0,3000.0
RUY BARBOSA,809,650,1212.0,500.0,7000.0
ITAMBÉ,805,663,1000.0,1.77,3000.0
IBIRAPUÃ,795,594,1500.0,400.0,8000.0
JACARACI,785,647,1200.0,1000.0,3500.0
ENCRUZILHADA,778,522,88.78,1.76,2000.0
SÍTIO DO MATO,777,663,1200.0,270.0,10000.0
CANUDOS,772,472,4000.0,615.38,4148843.99
PRAIA DO FORTE (MATA DE SÃO JOÃO),770,494,2576.0,1000.0,7500.0
CACHOEIRA,767,575,2000.0,650.0,22335.41
AMÉLIA RODRIGUES,765,527,4000.0,600.0,8000.0
PINTADAS,762,697,1000.0,800.0,1500.0
BELO CAMPO,759,559,1000.0,1.77,1945.0
ITORORÓ,750,539,2000.0,1000.0,6000.0
TEOFILÂNDIA,738,614,2700.0,1000.0,21847.16
POSTO DA MATA,735,446,1000.0,600.0,2000.0
CASTRO ALVES,734,460,2000.0,700.0,9825.0
COARACI,731,632,1000.0,1000.0,1525.0
ITARANTIM,727,392,500.0,100.0,2300.0
QUEIMADAS,727,532,2257.0,1000.0,5500.0
ITAPARICA,727,380,2650.0,1000.0,14775.0
FÁTIMA,725,605,1200.0,270.0,2900.0
SANTA BRÍGIDA,724,448,5000.0,800.0,120000.0
RIO DE CONTAS,722,554,1000.0,97.0,3000.0
NOVA SOURE,717,583,3100.0,825.0,7300.0
TABOCAS DO BREJO VELHO,714,534,1000.0,1.0,1800.0
UIBAÍ,713,521,12000.0,1000.0,1000000.0
ITANHÉM,707,380,1000.0,600.0,3000.0
ITAGUAÇU DA BAHIA,704,532,1888.6,770.44,3000.0
GUARATINGA,703,562,277.15,1.77,1832.5
IBIRAPITANGA,697,617,4000.0,1379.95,6500.0
PILÃO ARCADO,695,526,1000.0,1000.0,8000.0
NÚCLEO RESIDENCIAL PILAR,693,572,2000.0,1200.0,7000.0
ARACATU,691,510,1000.0,55.0,3000.0
IBITITÁ,689,601,1500.0,500.0,5000.0
RAFAEL JAMBEIRO,683,552,2000.0,1000.0,3000.0
ITATIM,673,449,1500.0,1000.0,5125.0
IUIU,672,563,190.0,77.0,1500.0
NAZARÉ,665,455,1000.0,400.0,4500.0
BOQUIRA,664,491,1000.0,1000.0,4000.0
ITAJUÍPE,663,459,3000.0,450.0,100800.0
VÁRZEA NOVA,662,501,2800.0,320.0,3360000.0
CORIBE,661,374,1500.0,912.62,5000.0
MALHADA,659,561,2000.0,330.0,7000.0
CAMPO ALEGRE DE LOURDES,654,582,4000.0,3000.0,64332.99
MURITIBA,650,501,1500.0,500.0,10000.0
IAÇU,650,467,1840.0,400.0,8000.0
NOVA FÁTIMA,649,564,1250.0,700.0,2000.0
CAPELA DO ALTO ALEGRE,647,586,3000.0,973.75,3000.0
SEBASTIÃO LARANJEIRAS,646,533,1600.0,500.0,8000.0
VALENTE,643,554,2000.0,1000.0,12000.0
MUQUÉM DE SÃO FRANCISCO,639,500,1695.0,450.0,13625.0
BROTAS DE MACAÚBAS,634,412,4000.0,1000.0,18000.0
OLINDINA,625,403,4000.0,1356.53,255720.91
BONITO,619,555,2000.0,1000.0,5000.0
SÃO GABRIEL,617,377,1000.0,500.0,4000.0
ABARÉ,615,418,125.0,1.77,1800.0
BONINAL,615,510,1200.0,10.0,8375.0
URUÇUCA,609,453,1300.0,500.0,4300.0
CORONEL JOÃO SÁ,606,396,5000.0,1000.0,12850.0
MULUNGU DO MORRO,606,439,2000.0,1200.0,381525.39
ANDORINHA,606,473,2000.0,1000.0,5800.0
CARAÍBAS,605,526,236.0,35.0,1200.0
CAMACAN,602,371,1500.0,500.0,4717.95
GOVERNADOR MANGABEIRA,595,473,1300.0,350.0,6000.0
SERRA DOURADA,593,496,1415.0,500.0,5175.0
ITUBERÁ,589,393,3500.0,1180.0,9240.0
MIRANTE,587,460,4500.0,100.0,201197.3
LENÇÓIS,584,412,1500.0,1000.0,4890.0
BARRA DO MENDES,581,481,3000.0,1000.0,8000.0
SÍTIO DO QUINTO,575,451,600.0,500.0,4000.0
JIQUIRIÇÁ,569,434,2100.0,1200.0,58024.88
JAGUARIPE,568,429,2000.0,200.0,116000.0
BAIXA GRANDE,567,531,2000.0,1125.0,6000.0
PÉ DE SERRA,565,507,1500.0,800.0,66000.0
SANTA BÁRBARA,565,444,1000.0,500.0,5800.0
SERRA PRETA,564,463,1000.0,600.0,3000.0
VEREDA,562,269,3000.0,350.0,632796.07
ABRANTES - DISTRITO,557,427,2000.0,1000.0,8000.0
RODELAS,556,385,3800.0,160.0,200000.0
CONCEIÇÃO DA FEIRA,555,392,1100.0,253.75,5896.61
BANZAÊ,554,436,36000.0,1200.0,475091.69
MARAGOGIPE,553,433,1500.0,500.0,5000.0
MACARANI,549,377,1000.0,1.77,4800.0
LAGOA REAL,547,418,1000.0,300.0,960000.0
PINDOBAÇU,541,401,3000.0,700.0,6000.0
CONCEIÇÃO DO ALMEIDA,538,370,1200.0,435.0,3870.0
CONDE,537,435,2500.0,725.12,34962.84
UTINGA,529,439,1500.0,600.0,3000.0
PALMEIRAS,528,413,2000.0,750.0,5400.0
MIRANGABA,523,309,1000.0,84.75,7820.0
SÃO JOSÉ DO JACUÍPE,506,429,6500.0,1000.0,8000.0
PRESIDENTE JÂNIO QUADROS,501,308,2800.0,1000.0,21847.16
RIO DO ANTÔNIO,499,391,1000.0,500.0,5000.0
ACAJUTIBA,498,384,1000.0,100.0,122228.05
SALINAS DA MARGARIDA,496,240,4500.0,1105.0,12000.0
ANTAS,492,373,1000.0,900.0,8000.0
IBICARAÍ,492,329,1000.0,450.0,3000.0
ITIÚBA,491,400,2300.0,1000.0,6000.0
IBIPITANGA,490,388,800.0,800.0,3000.0
TEOLÂNDIA,488,365,1500.0,256.0,5350.0
FILADÉLFIA,484,422,1212.0,1000.0,1700.0
PONTO NOVO,482,368,1000.0,500.0,216000.0
RIBEIRA DO AMPARO,478,369,1300.0,140.0,8000.0
ANTÔNIO CARDOSO,478,370,1000.0,120.0,4088.18
CORDEIROS,478,451,2500.0,1000.0,6917.4
IBIRATAIA,476,372,2000.0,500.0,213080.27
MALHADA DE PEDRAS,475,364,1500.0,500.0,3000.0
SÃO FELIPE,474,354,2500.0,588.78,6350.0
ANGUERA,474,413,8000.0,640.0,299516.0
CRISÓPOLIS,474,397,1000.0,88.78,2500.0
CÂNDIDO SALES,470,307,1000.0,1.77,5000.0
SANTA LUZIA,467,377,5625.6,2000.0,30000.0
NOVO HORIZONTE,467,344,1000.0,1.0,3500.0
BIRITINGA,463,375,2000.0,1000.0,5000.0
WENCESLAU GUIMARÃES,458,332,1664.17,300.0,5000.0
WAGNER,457,350,4000.0,1500.0,10000.0
IRAMAIA,457,321,2500.0,500.0,8000.0
RIO DO PIRES,456,360,2250.0,1000.0,633746.62
SÃO MIGUEL DAS MATAS,451,410,1073.89,400.0,8000.0
BARROCAS,450,353,2200.0,1000.0,106132.64
ARAÇÁS,450,262,2400.0,500.0,5854.76
IBIASSUCÊ,445,210,550.0,300.0,1200.0
BOTUPORÃ,441,334,750.0,500.0,3000.0
ANDARAÍ,441,389,1689.6,1000.0,5100.0
HELIÓPOLIS,430,322,1000.0,400.0,3000.0
