modalidade,n_registros,n_valores,mediana_valor,p25_valor,p75_valor
DOUTOR EM MODELAGEM COMPUTACIONAL E TECNOL INDUSTRIAL,37,0,,,
ENGENHARIA NAVAL,36,0,,,
ENGENHARIA ELÉTRICA,35,0,,,
Tecnólogo em Telecomunicações,34,34,124.9,69.9,187.4
ESPECIALIZAÇÃO EM GEOPROCESSAMENTO E CARTOGRAFIA DIGITAL,32,0,,,
ENGENHARIA DE PETRÓLEO E GÁS NATURAL,31,0,,,
ANALISE DE SISTEMAS,31,0,,,
ENGENHARIA DE ESTRUTURAS HIDRÁULICAS,31,0,,,
DOUTOR EM RECURSOS GENÉTICOS VEGETAIS,28,0,,,
ENGENHARIA DE MANUTENÇÃO INDUSTRIAL - ENG PROD CONST,26,0,,,
ENGENHARIA DE CONSTRUÇÃO E MONTAGEM,24,0,,,
ENGENHARIA DE AVALIAÇÕES E PERÍCIAS - ENG PROD CONST,24,0,,,
Engenheiro de Operação - Eletrônica,24,0,,,
EM HIGIENE OCUPACIONAL,23,0,,,
ADMINISTRACAO RURAL,22,0,,,
EM ENGENHARIA ÁREA DE CONCENTRAÇÃO: CONSTRUÇÃO,22,0,,,
AVALIAÇÃO E PERICIAS DE ENGENHARIA,21,0,,,
EM GEOPROCESSAMENTO,19,0,,,
Engenheiro de Fortificação e Construção,19,19,7272.0,100.0,12544.17
ENG. CLINICO,19,0,,,
CIÊNCIAS GEODÉSICAS E TECNOLOGIAS DA GEOINFORMAÇÃO,18,0,,,
AVALIAÇÕES E PERÍCIAS DE ENGENHARIA,18,0,,,
Tecnólogo em Eletrônica,17,16,40992.0,31530.68,79446.0
ENGENHARIA ELÉTRICA: SISTEMAS DE POTÊNCIA,17,0,,,
EM RECUPERAÇÃO DE ÁREAS DEGRADADAS,17,0,,,
ENGENHARIA DIAGNÓSTICA - PATOL E PERÍCIAS NA CONSTRUÇÃO,16,0,,,
CURSO DE GEORREFERENCIAMENTO,16,0,,,
EM PAVIMENTAÇÃO,15,0,,,
Tecnologo em Irrigação e Drenagem,14,14,32666.43,28171.91,35562.25
CAPACITAÇÃO EM GEORREFERENCIAMENTO DE IMÓVEIS RURAIS.,14,0,,,
Engenheiro Cartógrafa,14,14,195000.0,195000.0,6032590.0
Engenheiro Biomédico,14,14,1155553.44,662647.5,1380217.5
CURSO DE CAPACITAÇÃO GEORREFERENCIAMENTO DE IMÓVEIS RURAIS,13,0,,,
APERFEIÇOAMENTO EM GEORREFERENCIAMENTO DE IMÓVEIS RURAIS,13,0,,,
ENG. DIAGNÓST: PATOLOGIA,12,0,,,
ENGENHARIA DE SOFTWARE E GESTÃO DE PROJETOS,12,0,,,
GEOPROCESSAMENTO E GEORREFERENCIAMENTO,12,0,,,
Tecnólogo em Transporte Terrestre - Urbano,12,12,6520432.25,6520432.25,6520432.25
ENGENHARIA RODOVIARIA,11,0,,,
ENGENHARIA DE SUPRIMENTOS COM HAB DOC EM ENS SUPERIOR,10,0,,,
EM GEORREFERENCIAMENTO DE IMÓVEIS RURAIS,10,0,,,
EM GEOCIENCIAS,10,0,,,
ENGENHARIA DE ESTRUTURAS - ÁREA CONHECIMENTO ENG PROD CONST,10,0,,,
CURSO MESTRADO EM GEOTECNIA,10,0,,,
ENGENHARIA DE ENERGIA,10,0,,,
C POS-GRAD LATO-SENSU EM GESTAO DE MANUTENCAO,10,0,,,
ENG. DIAGNÓSTICA,10,0,,,
ENGENHARIA AUTOMOTIVA,9,0,,,
ENGENHARIA DE REDES E TELECOMUNICAÇÕES,9,0,,,
BOTÂNICA,9,0,,,
DOUTORADO EM GEOGRAFIA,9,0,,,
Engenheiro Biomédica,8,4,,,
DOUTOR EM ENGENHARIA ELÉTRICA,8,0,,,
ENG. GEOTÉCNICA - ÁREA DE CONH: ENGENHARIA,8,0,,,
Tecnólogo em Operação Admin. Sist. Naveg. Fluvial,8,8,14800.0,13372.5,14800.0
ENGEHARIA DE PETRÓLEO,7,0,,,
DOUTOR EM GEOGRAFIA,7,0,,,
ENGENHARIA DE PETROLEO,7,0,,,
Engenheiro de Operacao - Telecomunicacoes,7,7,1950000.0,55500.0,1950000.0
Engenheiro de Operação - Máquinas e Motores,6,5,80000.0,1300.0,96500.0
CALCULO ESTRUTURAL E FUNDAÇÕES,6,0,,,
ENGENHARIA GEOTÉCNICA - FUNDAÇÕES E OBRAS DE TERRA,6,0,,,
Tecnólogo em Mecatrônica Industrial,6,6,2935.0,1857.5,5392.5
EM GERENCIAMENTO DE RECURSOS HÍDRICOS,6,0,,,
EM AUDITORIA,6,0,,,
EM LAVRA E TECNOLOGIA MINERAL,6,0,,,
ENGENHARIA E GESTÃO DE ENERGIAS RENOVÁVEIS,6,0,,,
.,5,0,,,
ENGENHARIA DE PROJETOS ELÉTRICOS INDUSTRIAIS,5,0,,,
ENGENHARIA DE SUPRIMENTOS,5,0,,,
ENGENHARIA DE TÚNEIS ÁREA DE CONHECIMENTO ENGENHARIA,5,0,,,
ENGENHARIA DIAGNÓSTICA: PATOLOGIA,5,0,,,
ENGENHARIA ELÉTRICA-ÊNFASE EM SISTEMAS DE POTÊNCIA,5,0,,,
ENGENHARIA RODOVIÁRIA - ESTUDO DE VIABILIDADE PROJ EXECUTIVO,4,0,,,
Tecnólogo em Manutenção de Máquinas e Equipamentos,4,4,,,
ENGENHARIA ELÉTRICA - ÊNFASE EM SISTEMAS DE,4,0,,,
ENGENHARIA DE INSTRUMENTACAO,4,0,,,
Engenheiro Aeronáutico,4,2,,,
CURSO DE ESPECIALIZAÇÃO EM TELEINFORMÁTICA,4,0,,,
CICLO DE ESTUDOS DE POLÍTICA E ESTRATÉGIA,4,0,,,
ENGENHARIA E GESTÃO DA QUALIDADE E DE PROJETOS,4,0,,,
CURSO DE ESPECIALIZACAO EM ENGENHARIA DE QUALIDADE,4,0,,,
ENGENHARIA DE CONSTRUCAO NAVAL E OFFSHORE,4,0,,,
DOUTOR EM MANEJO DE SOLO E ÁGUA,3,0,,,
Engenheiro de Operação,3,0,,,
Tecnólogo em Geoprocessamento,3,3,,,
MBA EM PERÍCIA,3,0,,,
Engenheiro de Infra-Estrutura Aeronáutica,3,0,,,
.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-,3,0,,,
ESP. EM GEOPROCESSAMENTO E GEORREFERENCIAMENTO DE IMÓVEIS,3,0,,,
CURSO POS-GRAD `LATO-SENSU` EM ENGENHARIA ECONOMICA,3,0,,,
CURSO DE PÓS-GRAD `LATO SENSU` ESP EM ENGENHARIA GEOTÉCNICA,3,0,,,
CIÊNCIAS AGRÁRIAS,3,0,,,
GEOTECNOLOGIAS SOLUÇÕES DE INTELIGÊNCIA GEOGRÁFICA,3,0,,,
ESPECIALIZAÇÃO EM INVESTIGAÇÃO DO SOLO: HIDROG. E MEIO AMBIE,3,0,,,
Meteorologista,3,3,,,
CURSO DE ESPECIALIZAÇÃO EM HIGIENE OCUPACIONAL,3,0,,,
ENGª DE ENERGIA: REDES ELÉT. ÊNFASE EM EXECUCÃO E PROJETOS,2,0,,,
Engenheiro Hídrico,2,1,,,
MESTRADO EM GEOGRAFIA,2,0,,,
ESPECIALISTA EM GEOPROCESSAMENTO,2,0,,,
ENGENHARIA DE TRÁFEGO - ÁREA DE CONHECIMENTO: ENGENHARIA,2,0,,,
Tecnólogo em Soldagem,2,2,,,
Engenheiro de Operação - Refrigeração e Ar Condicionado,2,0,,,
ENGENHARIA ELÉTRICA - ELETROTÉCNICA,2,0,,,
*,2,0,,,
ENGENHARIAS DAS ESTRUTURAS,2,0,,,
ENGENHARIA DE PREVENÇÃO DE INCÊNDIO,2,0,,,
ESPECIALISTA M.ENG. EM ENGENHARIA DE BARRAGENS,2,0,,,
ENGENHARIA DE POTÊNCIA,2,0,,,
.-.-.-.-.-,1,0,,,
CAPACITAÇÃO EM GEORREFERENCIAMENTO DE IMÓVEIS RURAIS E URBAN,1,0,,,
ENGENHEIRA DE BIOPROCESSOS E BIOTECNOLOGIA,1,0,,,
ANALISE INF. MOD DE DECISÃO NA GESTÃO REC HIDRICOS,1,0,,,
GEOGRAFIA - AREA DE CONCET. EM NATUREZA E PROD. DO ESPACO,1,0,,,
Tecnólogo em Agroecologia,1,0,,,
ENGENHARIA DE CONFIABILIDADE,1,0,,,
Tecnólogo em Materiais,1,1,,,
GESTÃO,1,0,,,
ESPECIALIZAÇÃO EM ENGENHARIA E GERENCIAMENTO DA MANUTENÇÃO,1,0,,,
EDUCAÇÃO E GESTÃO EM SAÚDE PÚBLICA,1,0,,,
